list-il-m,1,4,1,12,93385,7782
list-d-m,1,4,1,12,86808,7234
list-id-m,1,4,1,12,94338,7861
list-dl-m,1,4,1,12,105345,8778
list-idl-m,1,4,1,12,173243,14436
list-none-s,1,8,1,24,83960,3498
list-i-s,1,8,1,24,130469,5436
list-l-s,1,8,1,24,136241,5676
list-il-s,1,8,1,24,109225,4551
list-d-s,1,8,1,24,138701,5779
list-id-s,1,8,1,24,314435,13101
list-dl-s,1,8,1,24,82625,3442
list-idl-s,1,8,1,24,131345,5472
list-none-m,1,8,1,24,102022,4250
list-i-m,1,8,1,24,114536,4772
list-l-m,1,8,1,24,89933,3747
list-il-m,1,8,1,24,101084,4211
list-d-m,1,8,1,24,112296,4679
list-id-m,1,8,1,24,110363,4598
list-dl-m,1,8,1,24,85234,3551
list-idl-m,1,8,1,24,163877,6828
list-none-s,1,16,1,48,131844,2746
list-i-s,1,16,1,48,106504,2218
list-l-s,1,16,1,48,95944,1998
list-il-s,1,16,1,48,109330,2277
list-d-s,1,16,1,48,107486,2239
list-id-s,1,16,1,48,152304,3173
list-dl-s,1,16,1,48,207127,4315
list-idl-s,1,16,1,48,163137,3398
list-none-m,1,16,1,48,106817,2225
list-i-m,1,16,1,48,286781,5974
list-l-m,1,16,1,48,123857,2580
list-il-m,1,16,1,48,139316,2902
list-d-m,1,16,1,48,90039,1875
list-id-m,1,16,1,48,110826,2308
list-dl-m,1,16,1,48,180537,3761
list-idl-m,1,16,1,48,251508,5239
list-none-s,1,32,1,96,113272,1179
list-i-s,1,32,1,96,296291,3086
list-l-s,1,32,1,96,145076,1511
list-il-s,1,32,1,96,198159,2064
list-d-s,1,32,1,96,124006,1291
list-id-s,1,32,1,96,147351,1534
list-dl-s,1,32,1,96,275312,2867
list-idl-s,1,32,1,96,298547,3109
list-none-m,1,32,1,96,212650,2215
list-i-m,1,32,1,96,147714,1538
list-l-m,1,32,1,96,133382,1389
list-il-m,1,32,1,96,255255,2658
list-d-m,1,32,1,96,199339,2076
list-id-m,1,32,1,96,139533,1453
list-dl-m,1,32,1,96,174599,1818
list-idl-m,1,32,1,96,206555,2151
list-none-s,2,1,1,6,144365,24060
list-i-s,2,1,1,6,156543,26090
list-l-s,2,1,1,6,173481,28913
list-il-s,2,1,1,6,108468,18078
list-d-s,2,1,1,6,103930,17321
list-id-s,2,1,1,6,96240,16040
list-dl-s,2,1,1,6,104146,17357
list-idl-s,2,1,1,6,187352,31225
list-none-m,2,1,1,6,121811,20301
list-i-m,2,1,1,6,147314,24552
list-l-m,2,1,1,6,177621,29603
list-il-m,2,1,1,6,173543,28923
list-d-m,2,1,1,6,166481,27746
list-id-m,2,1,1,6,105136,17522
list-dl-m,2,1,1,6,199070,33178
list-idl-m,2,1,1,6,180181,30030
list-none-s,2,2,1,12,136020,11335
list-i-s,2,2,1,12,137530,11460
list-l-s,2,2,1,12,163240,13603
list-il-s,2,2,1,12,87550,7295
list-d-s,2,2,1,12,158599,13216
list-id-s,2,2,1,12,123304,10275
list-dl-s,2,2,1,12,158702,13225
list-idl-s,2,2,1,12,113907,9492
list-none-m,2,2,1,12,225281,18773
list-i-m,2,2,1,12,123845,10320
list-l-m,2,2,1,12,110454,9204
list-il-m,2,2,1,12,114666,9555
list-d-m,2,2,1,12,180050,15004
list-id-m,2,2,1,12,108141,9011
list-dl-m,2,2,1,12,185404,15450
list-idl-m,2,2,1,12,215583,17965
list-none-s,2,4,1,24,111243,4635
list-i-s,2,4,1,24,164231,6842
list-l-s,2,4,1,24,156260,6510
list-il-s,2,4,1,24,133468,5561
list-d-s,2,4,1,24,176467,7352
list-id-s,2,4,1,24,152896,6370
list-dl-s,2,4,1,24,111467,4644
list-idl-s,2,4,1,24,139231,5801
list-none-m,2,4,1,24,175943,7330
list-i-m,2,4,1,24,158855,6618
list-l-m,2,4,1,24,115364,4806
list-il-m,2,4,1,24,149507,6229
list-d-m,2,4,1,24,101112,4213
list-id-m,2,4,1,24,109009,4542
list-dl-m,2,4,1,24,101058,4210
list-idl-m,2,4,1,24,108578,4524
list-none-s,2,8,1,48,107538,2240
list-i-s,2,8,1,48,114217,2379
list-l-s,2,8,1,48,112915,2352
list-il-s,2,8,1,48,118256,2463
list-d-s,2,8,1,48,151683,3160
list-id-s,2,8,1,48,125307,2610
list-dl-s,2,8,1,48,135629,2825
list-idl-s,2,8,1,48,92279,1922
list-none-m,2,8,1,48,128118,2669
list-i-m,2,8,1,48,145128,3023
list-l-m,2,8,1,48,91932,1915
list-il-m,2,8,1,48,151565,3157
list-d-m,2,8,1,48,103496,2156
list-id-m,2,8,1,48,117787,2453
list-dl-m,2,8,1,48,129780,2703
list-idl-m,2,8,1,48,127346,2653
